checkpoint,condition,records,target_accuracy,target_balanced_accuracy,source_accuracy
step-000000,vision,400,0.3425000011920929,0.31182795763015747,0.3425000011920929
step-000000,paired_counterfactual_image,400,0.2574999928474426,0.22587719559669495,0.3425000011920929
step-000000,shuffled_image,400,0.2824999988079071,0.2507781386375427,0.3425000011920929
step-000000,patch_permutation,400,0.3199999928474426,0.2997398376464844,0.3199999928474426
step-001500,vision,400,0.2849999964237213,0.25,0.2849999964237213
step-001500,paired_counterfactual_image,400,0.2849999964237213,0.25,0.2849999964237213
step-001500,shuffled_image,400,0.2849999964237213,0.25,0.2849999964237213
step-001500,patch_permutation,400,0.1899999976158142,0.1666666716337204,0.1899999976158142
step-002000,vision,400,0.2849999964237213,0.25,0.2849999964237213
step-002000,paired_counterfactual_image,400,0.2849999964237213,0.25,0.2849999964237213
step-002000,shuffled_image,400,0.2849999964237213,0.25,0.2849999964237213
step-002000,patch_permutation,400,0.2849999964237213,0.25,0.2849999964237213
