checkpoint,optimizer_steps,examples_seen,source,records,shuffle_repeats,mean_true_loss,mean_shuffled_loss,mean_delta,shuffle_delta_std
step-000000,0,0,overall,32,10,6.7470477521419525,6.730649137124419,-0.01639861501753323,0.045247166853335866
step-000000,0,0,docvqa_train,9,10,3.8444527520073786,3.9770340257220798,0.13258127371470144,0.07066921919747608
step-000000,0,0,showui_desktop,3,10,5.59733788172404,5.505344676971435,-0.09199320475260435,0.12594877451568834
step-000000,0,0,textvqa_train,17,10,8.85615031859454,8.792730686945074,-0.063419631649466,0.07662756864096157
step-000000,0,0,train,3,10,4.652961413065593,4.531670149167379,-0.12129126389821376,0.1613077816542812
step-001500,1500,12000,overall,32,10,3.9284450449049473,4.956666560284793,1.028221515379846,0.32242021961218786
step-001500,1500,12000,docvqa_train,9,10,2.944718745019701,3.391012418270111,0.4462936732504103,0.1296115374982443
step-001500,1500,12000,showui_desktop,3,10,1.197600523630778,5.008515469233195,3.8109149456024167,0.42905787191470773
step-001500,1500,12000,textvqa_train,17,10,5.0904137947980095,5.860436389376136,0.7700225945781258,0.574001343930812
step-001500,1500,12000,train,3,10,3.0259788831075034,4.4804177125295,1.4544388294219968,0.3268166489439707
shape-projector-step50,1550,12400,overall,32,10,4.3367745243012905,5.515044229850173,1.1782697055488824,0.34794038621965195
shape-projector-step50,1550,12400,docvqa_train,9,10,2.986614770359463,3.982336085372501,0.9957213150130377,0.20068196560721902
shape-projector-step50,1550,12400,showui_desktop,3,10,1.5207095940907795,5.364810597896576,3.8441010038057963,0.4516656576496627
shape-projector-step50,1550,12400,textvqa_train,17,10,5.760667604558608,6.367635988487916,0.6069683839293087,0.6487348760275131
shape-projector-step50,1550,12400,train,3,10,3.134591261545817,5.432048996289571,2.297457734743754,0.6627399204691645
