micro_batch_size,gradient_accumulation_steps,effective_batch_size,actual_batched_forward,optimizer_step,step_wall_seconds,examples_per_second,peak_gpu_memory_bytes,included_after_warmup
1,1,1,False,1,0.26854801177978516,3.7237289279207935,2997655040,False
1,1,1,False,2,0.070343017578125,14.216052060737526,3202109952,True
1,1,1,False,3,0.07041645050048828,14.201227027100234,3314022400,True
1,1,1,False,4,0.08761405944824219,11.413693262218352,3314022400,True
1,1,1,False,5,0.07054567337036133,14.175213761870966,3314022400,True
1,4,4,False,1,0.5366377830505371,7.453817316518143,3230993408,False
1,4,4,False,2,0.26071882247924805,15.342198779370372,3312408064,True
1,4,4,False,3,0.2733325958251953,14.634185827431004,3395158528,True
1,4,4,False,4,0.2928779125213623,13.65756797965515,3646017536,True
1,4,4,False,5,0.26122593879699707,15.312415062688185,3646017536,True
1,8,8,False,1,0.7445435523986816,10.74483819546426,3231249408,False
1,8,8,False,2,0.557204008102417,14.357398517724873,3646017536,True
1,8,8,False,3,0.5288782119750977,15.126355782598738,3646017536,True
1,8,8,False,4,0.5464742183685303,14.639299954320947,3646017536,True
1,8,8,False,5,0.5234448909759521,15.283366287297534,3646017536,True
