micro_batch_size,gradient_accumulation_steps,effective_batch_size,actual_batched_forward,optimizer_step,step_wall_seconds,examples_per_second,peak_gpu_memory_bytes,included_after_warmup
1,1,1,False,1,1.649731159210205,0.6061593699174244,4602529280,False
1,1,1,False,2,0.0938873291015625,10.651064521371689,4806984192,True
1,1,1,False,3,0.0824286937713623,12.13169776502541,4918896640,True
1,1,1,False,4,0.10869097709655762,9.200395715567371,4918896640,True
1,1,1,False,5,0.0709073543548584,14.102909480946986,4918896640,True
1,4,4,False,1,0.4266018867492676,9.376423602999612,4835867648,False
1,4,4,False,2,0.30527162551879883,13.103084812426097,4917282304,True
1,4,4,False,3,0.33611249923706055,11.900777296528908,5000032768,True
1,4,4,False,4,0.2903881072998047,13.774668794787418,5250891776,True
1,4,4,False,5,0.26341938972473145,15.18491104310859,5250891776,True
1,8,8,False,1,0.6759293079376221,11.835557218859753,4836123648,False
1,8,8,False,2,0.5591068267822266,14.308535715869589,5250891776,True
1,8,8,False,3,0.6902363300323486,11.590233159163141,5250891776,True
1,8,8,False,4,0.5872330665588379,13.623211047837748,5250891776,True
1,8,8,False,5,0.5809979438781738,13.769411896021227,5250891776,True
